EventCode,NumMentions,Actor1Code,Actor1Name,Actor2Code,Actor2Name,NumArticles,DATEADDED
046,10,CVL,COMMUNITY,AGR,GRANGER,10,20230524070000
112,10,CVL,TENANTS,BUS,LANDLORD,10,20230524070000
173,10,CVL,MIGRANT,COP,BORDER PATROL,10,20230524070000
138,10,EDU,COLLEGE,GBRIMY,MANX,10,20230524070000
042,10,EDU,SCHOOL,USA,OREGON,10,20230524070000
111,10,FRA,FRENCH,ITA,RIVIERA,10,20230524070000
010,10,GBRCOP,WALES,,,10,20230524070000
090,10,GBRCOP,WALES,,,10,20230524070000
0356,10,GBRIMY,ISLE OF MAN,,,10,20230524070000
128,10,GBRIMY,ISLE OF MAN,,,10,20230524070000
073,20,GOV,CHIEF EXECUTIVE,BOLBUS,SANTA CRUZ,10,20230524070000
010,10,GOVEDU,EDUCATION MINIST,IGOUNOWBK,THE WB,10,20230524070000
040,10,GOVGOV,GOVERNMENT,LEG,DELEGATE,10,20230524070000
043,10,HIN,HINDU,,,10,20230524070000
051,10,IND,BHUBANESWAR,HIN,HINDU,10,20230524070000
084,10,IND,WEST BENGAL,IGOUNOWBK,THE WB,10,20230524070000
010,10,JUD,DISTRICT COURT,IND,HARYANA,10,20230524070000
100,10,JUD,DISTRICT COURT,IND,HARYANA,10,20230524070000
110,10,JUD,DISTRICT COURT,IND,HARYANA,10,20230524070000
138,10,JUD,DISTRICT COURT,IND,HARYANA,10,20230524070000
017,10,LAB,WORKER,,,10,20230524070000
040,10,LEG,DELEGATE,CAN,ONTARIO,10,20230524070000
040,10,LEG,DELEGATE,GOVGOV,GOVERNMENT,10,20230524070000
112,5,MED,JOURNALIST,COP,DEPUTY,5,20230524070000
051,5,MNCUSA,NVIDIA,BUS,COMPANY,5,20230524070000
051,5,MNCUSAMED,QUALCOMM,BUS,COMPANY,5,20230524070000
051,10,MYS,JOHOR,MYSGOV,JOHOR,10,20230524070000
036,5,NGOHLHIRC,RED CROSS,USA,SEATTLE,5,20230524070000
